Категория,Анализ,Биоматериал,Описание,Стоимость,Готовность в течении
Популярное,Стандартный ПЦР-тест на РНК коронавируса (SARS-CoV-2),"Мазок с зева, Мокрота","Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам.",1990,2
Популярное,"25-OH витамин D, суммарный",Сыворотка,"Основной метаболит витамина D, по которому судят о его концентрации в организме. Это жирорастворимое вещество, необходимое для поддержания в крови уровня кальция, фосфора и магния.",1490,2
Популярное,АЧТВ,Кровь с цитратом,"Время, за которое образуется сгусток крови после присоединения к плазме хлорида кальция и других реагентов. Оно отражает работу так называемого внутреннего пути и общего каскада свертывающей системы крови человека и является наиболее чувствительным показателем свертываемости крови.
При применении очень высоких доз гепарина, например, при открытых операциях на сердце, тест на АЧТВ теряет свою чувствительность – тромбообразование сильно снижается.",290,1
Популярное,Аланинаминотрансфераза (АЛТ),Сыворотка,"Внутриклеточный фермент из группы аминотрансфераз, играющий одну из ключевых ролей в обмене аминокислот и обеспечении клеток энергией.
АЛТ катализирует реакцию трансаминирования между аланином и альфа-кетоглутаратом.
Находится во всех клетках организма, главным образом в печени и почках, меньше его в сердце и мышцах.",249,1
Популярное,"Антитела к коронавирусу SARS-Cov-2 IgM, полуколичественный",Кровь,"Исследование, которое помогает проверить наличие антител в крови к коронавирусу. IgM-антитела производятся первыми, их уровень быстро нарастает в начале инфекции, достигая максимума в острый период болезни, а затем постепенно снижается, полностью исчезая к моменту выздоровления.",1490,1
Популярное,Антитела к микросомальной тиреопероксидазе (АТ-ТПО),Сыворотка,"Антитела к тиреопероксидазе – специфические иммуноглобулины, направленные против фермента, содержащегося в клетках щитовидной железы и отвечающего за образование активной формы йода для синтеза тиреоидных гормонов. Они являются специфичным маркером аутоиммунных заболеваний щитовидной железы.",690,1
Популярное,Аспартатаминотрансфераза (АСТ),Сыворотка,"Аспартатаминотрансфераза (АСТ) – фермент, который находится во всех клетках организма, но, главным образом,  в клетках сердца и печени и, в меньшей степени, в почках и мышцах. В норме активность АСТ в крови очень низкая. При повреждении тканей печени или мышц она высвобождается в кровь. Таким образом, АСТ является показателем повреждений печени.",290,1
Популярное,Билирубин общий,Сыворотка,"Билирубин общий — продукт распада гемоглобина, миоглобина и цитохромов, образуется преимущественно в результате распада гемовой части гемоглобина эритроцитов после их гибели, в меньшей степени при распаде других гемсодержащих белков.",249,1
Популярное,Витамин B12,Сыворотка,"Витамин B12 (цианокобаламин) – водорастворимый витамин, играет важную роль в нормальном функционировании нервной системы и формировании клеток крови.
Его дефицит может вызвать серьезные изменения в организме. B12 накапливается преимущественно в печени и селезенке.",990,1
Популярное,Глюкоза,Кровь с фторидом натрия,"Органическое соединение, основная функция которого- источник энергии для организма. Углеводы расщепляются на глюкозу и другие простые сахара, которые усваиваются тонким кишечником и поступают в кровь.
Мозгу и нервным клеткам она нужна не только как источник энергии, но и как регулятор деятельности, поскольку они могут функционировать только если содержание глюкозы в крови достигает определенного уровня.",249,1
